ARBITRAGE_QUANTITY,DEFAULT_SPREAD_MEAN,KELP_BETA,KELP_MM_EDGE,KELP_TAKE_WIDTH,LATE_DAY_SIZE_FACTOR,LATE_DAY_SPREAD_FACTOR,LATE_DAY_TIMESTAMP,RESIN_MM_EDGE,RESIN_TAKE_WIDTH,ROLLING_WINDOW,SQUID_BETA,SQUID_LONG_EMA_WINDOW,SQUID_MM_EDGE,SQUID_MOMENTUM_THRESHOLD,SQUID_SHORT_EMA_WINDOW,SQUID_TAKE_WIDTH,SQUID_TREND_BIAS,SQUID_TREND_THRESHOLD,SQUID_VOL_THRESHOLD,ZSCORE_THRESHOLD,profit
8,95,0.7319939418114051,1.397987726295555,1.624074561769746,0.5779972601681014,1.0871254182522991,886618,2.2022300234864174,12.080725777960454,12,0.9699098521619943,45,2.9110519961044856,6.818249672071007,4,3.7381801866358395,1.024756431632238,2.4437525838895207,12,7.282970263056656,83736
4,29,0.3663618432936917,1.1841049763255538,4.140703845572054,0.5998368910791798,1.7713516576204174,859241,1.0929008254399954,11.075448519014383,25,0.06505159298527952,48,9.690688297671034,13.08397348116461,5,1.8790490260574548,1.1842330265121568,2.480686221828206,8,6.466238370778891,70370
2,91,0.2587799816000169,1.4937834265309728,2.246844304357644,0.7600340105889054,1.8200654190149195,818485,2.939169255529117,12.751328233611146,95,0.8948273504276488,38,9.296868115208051,5.884925020519195,4,1.4070456001948426,0.8253303307632643,2.249047803602669,12,8.801162564063505,48858
8,28,0.5426960831582485,0.711386337462144,4.208787923016159,0.5372753218398854,2.480330404900776,877224,1.3974313630683448,5.055221171236024,83,0.7068573438476171,42,7.941433120173512,5.740446517340904,6,2.0428215357261674,1.3631034258755936,3.304841570724011,13,3.4449084520021653,60696
7,33,0.7296061783380641,1.4563362070328196,4.548850970305306,0.7361074625809747,1.1793913689074524,871324,2.521570097233795,10.612771975694962,79,0.49379559636439074,36,4.847869165226946,5.254191267440952,4,1.2828626711806081,1.1364104112637805,1.91460191484347,18,9.352965317482651,52426
8,1,0.7606090453790295,1.0702378922188984,4.9539018656559035,0.6479966477647863,2.4683220411420086,897340,1.6920198591865225,14.03932409525676,13,0.06700021697669245,41,6.693063667668774,6.350022463139966,4,4.273896819458342,0.6667933791223093,2.251895141931289,6,7.605085528180712,79788
2,36,0.33364429091413106,0.5500979879667083,3.6788720230512544,0.8847941188424446,1.0531144136510213,873560,1.112922158833733,11.012114514773955,39,0.6819212869122727,49,3.6539019825858987,6.808357005659312,7,8.26928753018792,0.5310569587411323,3.363978212613106,21,5.662247114840781,64639
10,85,0.6738359918950754,1.5466636797376814,2.535393969333829,0.984033058940247,1.4798211881371224,888207,2.1986612503695513,9.346251283162998,12,0.6469286746142726,33,3.7743825699252325,14.674296759740544,8,6.178981219354611,0.9399318860689174,3.500447223060042,23,6.739905527624586,78280
8,22,0.653251361671332,1.8095526798580657,1.1036504934669251,0.5575309541217612,2.456969720695599,834314,2.2050798494492945,11.167888969176271,71,0.29830515531709867,45,5.083782563848074,8.393005851260643,9,8.535784884445093,1.465701885910176,3.3884897597201142,16,9.920240500418988,72444
4,15,0.9291585038892255,0.8634046459902082,1.7425281551398335,0.9405698474319854,2.4840925441450925,883824,1.7651124214483676,7.4499797936670165,81,0.5361109126021723,40,2.8382884931472203,7.763868168691084,8,2.0668253431056423,0.7301743750772703,3.4902384124227464,22,8.682062796451119,71026
